,A69-1008-32,A69-1008-33,A69-1008-34,A69-1008-36,A69-1303-13038,A69-1303-2140,A69-1303-2145,A69-1303-2146,A69-1303-2147,A69-1303-2148,A69-1303-2149,A69-1303-2150,A69-1303-2151,A69-1303-44590,A69-1303-44591,A69-1303-44594,A69-1303-44607,A69-1303-52993,A69-1303-52994,A69-1303-52995,A69-1303-55114,A69-1303-55115,A69-1303-55116,A69-1303-55117,A69-1303-55119,A69-1303-55120,A69-1303-55121,A69-1303-55122,A69-1303-55123,A69-1303-55124,A69-1303-55125,A69-1303-55126,A69-1303-55127,A69-1303-56653,A69-1303-63423,A69-1303-63424,A69-1303-63425,A69-1303-63427,A69-1303-63429,A69-1303-63430,A69-1303-63433,A69-1303-63435,A69-1303-63436,A69-1303-63437,A69-1303-7949,A69-1303-7950,A69-1303-7951,A69-1303-7952,A69-1303-7955,A69-1303-7959,A69-1303-7960,A69-1303-7961,A69-1303-7963,A69-1303-7964,A69-1303-7966,A69-1303-7967,RI
NWSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002645503
PA,0.009615385,0.01010101,0.076023392,0.166666667,0.144444444,0.026785714,0.058823529,0.226086957,0.066666667,0.065217391,0.118421053,0.013245033,0.023696682,0,0,0,0,0.126984127,0,0,0,0,0,0.00877193,0.104,0.042372881,0,0,0.018181818,0,0.076923077,0.059405941,0,0,0,0,0,0.015384615,0.377358491,0,0,0.035714286,0,0.021505376,0.204819277,0.086666667,0.01986755,0.03030303,0.060869565,0.161971831,0.010989011,0.034965035,0.166666667,0.111111111,0.004975124,0.069306931,0.050980505
PELA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0.636363636,0,0.008196721,0,0,0,0,0.026315789,0,0,0,0,0,0,0,0,0.035087719,0,0,0,0,0.192307692,0,0,0,0,0.018518519,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016929287
PG,0.019230769,0,0,0.075757576,0.033333333,0.008928571,0.019607843,0.026086957,0.025641026,0.043478261,0,0,0.023696682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00990099,0,0,0,0,0,0,0,0.027027027,0,0.035714286,0,0,0,0,0.039735099,0.060606061,0,0,0,0,0,0.033333333,0,0.02970297,0.009138943
PIBA,0,0,0,0,0,0,0,0.008695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00729927,0.020833333,0,0,0,0,0.01754386,0,0,0,0,0,0.018867925,0.054054054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002273109
PN,0.009615385,0,0.157894737,0,0,0,0.019607843,0,0,0,0.105263158,0.013245033,0.009478673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012048193,0,0,0.03030303,0.034782609,0.007042254,0,0,0,0,0,0,0.007130016
PR,0.711538462,0.353535354,0,0.007575758,0.038888889,0,0,0,0.030769231,0,0,0,0.009478673,0,0,0,0,0,0,0,0,0,0,0.01754386,0.024,0,0,0,0,0.014705882,0,0.02970297,0,0.00591716,0,0,0,0,0,0,0,0.035714286,0.092592593,0,0,0,0.052980132,0.03030303,0,0,0,0.013986014,0,0.022222222,0,0.02970297,0.027163527
PTR,0,0,0.16374269,0.075757576,0.011111111,0.035714286,0.058823529,0.130434783,0,0.130434783,0.118421053,0.026490066,0.170616114,0.125,0.038461538,0.037037037,0.045454545,0.111111111,0.106557377,0.045454545,0.086956522,0.0625,0.133333333,0.061403509,0.064,0.025423729,0.145985401,0.041666667,0.096969697,0.073529412,0.076923077,0.108910891,0.105263158,0.041420118,0,0.033333333,0.076923077,0.038461538,0.037735849,0,0.12371134,0,0.074074074,0.053763441,0.024096386,0.033333333,0.072847682,0.060606061,0.139130435,0.070422535,0.10989011,0.153846154,0,0.011111111,0.154228856,0.099009901,0.070025587
SB,0.009615385,0,0,0.015151515,0.061111111,0,0,0.008695652,0.015384615,0,0.026315789,0,0.009478673,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0.006060606,0,0.007692308,0,0,0,0,0,0,0,0.037735849,0.027027027,0,0.035714286,0,0,0.204819277,0,0,0.060606061,0,0,0,0.006993007,0,0.022222222,0,0.03960396,0.01075406
SBX,0,0,0.005847953,0,0,0.017857143,0.019607843,0,0,0,0.013157895,0,0.004739336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303,0,0.007042254,0,0,0,0,0,0,0.001759919
SLDJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074074074,0.090909091,0.015873016,0,0,0,0,0,0,0,0.008474576,0.00729927,0,0,0,0,0,0,0,0,0,0.025641026,0.007692308,0,0.027027027,0,0,0.037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00525049
SLIB,0,0,0,0,0,0,0.019607843,0,0,0,0,0,0,0,0,0,0,0.015873016,0,0,0,0,0,0,0,0.008474576,0,0.041666667,0.006060606,0,0,0,0,0.00591716,0,0,0.025641026,0.007692308,0.018867925,0,0,0,0,0.032258065,0,0,0,0,0,0,0,0,0,0,0,0,0.003251057
